WingID,alpha,U,U_ci,Re_c,Re_c_ci,rho,rho_ci,mu,mu_ci,T_atm,T_atm_CI,P_atm,P_atm_CI,P_V_mean,Fx_V_mean,Fy_V_mean,Fz_V_mean,Mx_V_mean,My_V_mean,Mz_V_mean,P_V_ci,Fx_V_ci,Fy_V_ci,Fz_V_ci,Mx_V_ci,My_V_ci,Mz_V_ci,FL_wt_mean,FD_wt_mean,FS_wt_mean,Mn_wt_mean,Ml_wt_mean,Mm_wt_mean,FL_wt_ci,FD_wt_ci,FS_wt_ci,Mn_wt_ci,Ml_wt_ci,Mm_wt_ci,t_s,f_s
F4352,15,12.53965078,0.443407859,822272.2739,29084.57954,1.183601636,0.00101464,1.80E-05,1.74E-09,18.24431835,0.01558153,98950.3158,84.65975,1.138156272,0.029462654,-0.16661804,0.068751859,-0.243937815,0.051624846,0.397803186,0.016516056,0.064805889,0.005137895,0.056233643,0.003416427,0.052271974,0.022526772,4.822512616,0.54866495,-0.644820532,-0.100292068,0.870680883,-0.210380592,0.781357161,0.537971109,6.04646434,0.161235429,0.179800951,0.031194881,45,4000
F4352,13,12.57137165,0.45667753,824397.3864,29956.11734,1.183638086,0.001014197,1.80E-05,1.52E-09,18.23534498,0.013582469,98950.3158,84.65975,1.142921134,-0.010561746,-0.163537803,0.103099066,-0.241341428,0.055928958,0.38352656,0.017054684,0.058338807,0.004332619,0.051113276,0.003245932,0.045011674,0.019757038,4.232868418,0.503158464,-0.729762386,-0.098893833,0.72988148,-0.198838789,0.689955286,0.465808581,5.396018877,0.143088964,0.161193047,0.027384749,45,4000
F4352,11,12.58311973,0.447461038,825157.0475,29351.67315,1.1836294,0.001016179,1.80E-05,2.31E-09,18.23748329,0.020718011,98950.3158,84.65975,1.144671303,-0.053246329,-0.161790165,0.137613358,-0.238038263,0.063080451,0.367300151,0.016725449,0.056088342,0.004625579,0.049519457,0.003840753,0.045163319,0.018591153,3.570400227,0.450002195,-0.792395942,-0.100695692,0.582458857,-0.183887484,0.658259022,0.445815696,5.260121207,0.140793895,0.155952401,0.026142653,45,4000
F4352,9,12.5789364,0.463437426,824681.5667,30391.41163,1.183466757,0.001012883,1.81E-05,7.16E-10,18.27752831,0.006410556,98950.3158,84.65975,1.143916175,-0.095934457,-0.160823844,0.169824386,-0.234592993,0.072182323,0.350574437,0.017315432,0.053200393,0.003669366,0.046151972,0.003266395,0.037594866,0.018688431,2.897252344,0.418773938,-0.875061436,-0.104456521,0.438148144,-0.167386366,0.657328785,0.426565808,4.802353604,0.125147775,0.145415879,0.025797872,45,4000
F4352,7,12.56873739,0.466693909,823911.7635,30601.14687,1.183384898,0.00101378,1.81E-05,1.41E-09,18.29768752,0.012645756,98950.3158,84.65975,1.142326455,-0.140125631,-0.160560986,0.201840027,-0.231344115,0.08321633,0.332408182,0.017421923,0.051203438,0.005062968,0.04568921,0.004161221,0.039697758,0.015842504,2.18986756,0.432185598,-0.942931787,-0.113364029,0.290374228,-0.147772797,0.572679034,0.400199009,4.771161454,0.127206668,0.141915836,0.022982749,45,4000
F4352,5,12.56958107,0.460081001,823969.6406,30167.80878,1.183386979,0.00101293,1.81E-05,8.30E-10,18.2971749,0.007432754,98950.3158,84.65975,1.142454181,-0.191723633,-0.163757708,0.237358768,-0.229251612,0.098617021,0.307995035,0.017175892,0.059573051,0.005940195,0.050752933,0.00471433,0.046010265,0.019305039,1.327207838,0.474756926,-0.983850934,-0.129030855,0.119190286,-0.113755104,0.694862208,0.478057356,5.462998883,0.143918712,0.163976925,0.027743651,45,4000
F4352,3,12.54837617,0.448338286,822678.619,29402.2311,1.183467241,0.001019508,1.81E-05,3.27E-09,18.27740925,0.029283512,98950.3158,84.65975,1.139351476,-0.243025332,-0.169347909,0.271267265,-0.228338129,0.115728461,0.281887477,0.016709675,0.085286893,0.009959723,0.076100732,0.007086942,0.080665313,0.030248658,0.460446079,0.541051722,-1.001353633,-0.150319824,-0.049323059,-0.072766748,1.089548453,0.756182238,8.425434367,0.232685689,0.2431287,0.043562622,45,4000
F4352,1,12.51202578,0.448753128,820231.0734,29426.67575,1.183414893,0.001014039,1.81E-05,1.53E-09,18.2903004,0.013732666,98950.3158,84.65975,1.133894752,-0.288430048,-0.176422316,0.300008106,-0.228637774,0.132195589,0.257017289,0.016676004,0.128767875,0.017500798,0.112236726,0.010672235,0.124220351,0.053532392,-0.31595635,0.625141382,-1.014323032,-0.17480647,-0.196031015,-0.029861214,1.907380371,1.318637962,12.72073699,0.351214334,0.367327579,0.076216964,45,4000
F4352,0,12.49785707,0.451843275,819032.735,29619.53393,1.183195533,0.001015365,1.81E-05,2.16E-09,18.34433245,0.019369653,98950.3158,84.65975,1.131616101,-0.306330971,-0.179975479,0.311161826,-0.229287383,0.138904651,0.246590996,0.016768867,0.152691696,0.018788949,0.124779942,0.011158398,0.129048326,0.062373076,-0.619874084,0.668454026,-1.017554932,-0.187531802,-0.252738916,-0.010407136,2.209717504,1.499121636,14.18313417,0.376708581,0.423166003,0.08783426,45,4000
F4352,-1,12.484486,0.44679847,818142.2109,29288.35142,1.183183907,0.00101331,1.81E-05,1.24E-09,18.34719655,0.011107358,98950.3158,84.65975,1.12962161,-0.31967894,-0.182762395,0.319502072,-0.229878657,0.143956957,0.238503102,0.016563461,0.171367302,0.02001081,0.137411338,0.012384265,0.137993216,0.069723111,-0.849288235,0.714550961,-1.015763893,-0.199565649,-0.29388516,0.004832389,2.467732653,1.656306942,15.60739511,0.408720106,0.470740731,0.097786514,45,4000
F4352,-2,12.47703358,0.422903233,817617.9866,27721.96053,1.183154678,0.001017029,1.81E-05,2.70E-09,18.35439785,0.024183741,98950.3158,84.65975,1.128493121,-0.329345335,-0.184758274,0.325413189,-0.230264886,0.147565207,0.232444794,0.015666402,0.175863964,0.019961179,0.14023053,0.012273534,0.138869603,0.07000288,-1.019148917,0.762450895,-1.025332282,-0.210545964,-0.322139391,0.016056293,2.476375064,1.662096066,15.90273167,0.41421873,0.481521152,0.098131966,45,4000
