,elbowAngle,manusAngle
201,128.2042584,119.5268167
202,128.2292006,119.5717441
203,128.31684,119.7298331
204,128.4204065,119.9167502
205,128.5051584,120.0694192
206,128.8696476,120.7154049
207,128.9763419,120.8988995
208,129.0245229,120.9806051
209,129.1539741,121.2002367
210,129.2692334,121.3975071
211,129.4444005,121.6997078
212,129.5317529,121.8512044
213,129.701527,122.1465394
214,129.8569164,122.4171999
215,129.8645387,122.4304714
216,129.8856263,122.4671823
217,130.1110846,122.8586512
218,130.2784178,123.1470894
219,130.3239041,123.2250459
220,130.4705873,123.474796
221,130.6064954,123.7035475
222,130.6473496,123.771735
223,130.7126999,123.8801993
224,130.7709018,123.9765604
225,130.8501959,124.1081832
226,131.5089149,125.2151076
227,131.5356297,125.2604465
228,131.5676981,125.3149114
229,131.7382147,125.6052158
230,131.8136271,125.7339583
231,131.8295454,125.7611597
232,131.9536379,125.9735047
233,132.1534117,126.3163537
234,132.4443354,126.8174524
235,132.4841746,126.8862105
236,132.5200617,126.9481714
237,132.6159733,127.11387
238,132.9044271,127.614805
239,132.9635794,127.7181613
240,133.1069589,127.96966
241,133.2132001,128.15695
242,133.252088,128.2257126
243,133.3716853,128.4379151
244,133.5337881,128.7273714
245,133.5653223,128.7839363
246,134.0311362,129.6300875
247,134.1196728,129.7933215
248,134.1589294,129.8659614
249,134.345089,130.2127028
250,134.4403715,130.3916783
251,134.4629427,130.434229
252,134.5269752,130.5552671
253,134.9049843,131.2802971
254,135.0655753,131.5933988
255,135.1012611,131.6633521
256,135.1974663,131.8525904
257,135.365166,132.1846198
258,135.48225,132.4179529
259,135.5539249,132.5613662
260,135.7017326,132.8583969
261,135.7301939,132.9157801
262,135.8748264,133.2082539
263,135.9422872,133.3451395
264,136.1900398,133.8500994
265,136.2897043,134.0541028
266,136.3965302,134.2732338
267,136.4199445,134.3213224
268,136.6561628,134.8064014
269,136.7301896,134.958419
270,136.8532934,135.2113255
271,136.9207244,135.3499472
272,137.0865686,135.691292
273,137.124789,135.7700619
274,137.3729321,136.282734
275,137.634006,136.8252122
276,137.6581834,136.8756466
277,137.6734058,136.9074198
278,137.6806606,136.9225677
279,137.6860294,136.9337797
280,137.8064948,137.1858682
281,138.0579704,137.7156069
282,138.0769197,137.7557356
283,138.0851163,137.773091
284,138.2808618,138.1825218
285,138.4709653,138.5724982
286,138.5242324,138.680733
287,138.5473708,138.7276332
288,138.5679968,138.7693869
289,138.8761829,139.3891762
290,138.9804743,139.5982169
291,139.1675301,139.9740784
292,139.4133239,140.4729492
293,139.4529274,140.5541555
294,139.4551747,140.5587719
295,139.5771821,140.8108879
296,139.6230387,140.9064738
297,139.6746513,141.0146604
298,139.7525083,141.1779116
299,139.9512878,141.5909574
300,140.0709509,141.8373248
301,140.2964396,142.2978108
302,140.3797092,142.4668538
303,140.4241103,142.5568115
304,140.5241822,142.7591716
305,140.7828327,143.2805073
306,140.9598376,143.6367495
307,140.9990255,143.7156469
308,141.0030609,143.7237728
309,141.1916817,144.1040578
310,141.3978642,144.5214875
311,141.441013,144.609175
312,141.4506813,144.6288415
313,141.7702375,145.2822501
314,141.9169446,145.5838722
315,142.0142564,145.7842801
316,142.0996412,145.9602594
317,142.1899852,146.1465216
318,142.2452809,146.2605241
319,142.6516348,147.0964963
320,142.6866862,147.1683246
321,142.7829048,147.3651509
322,142.7979538,147.3958852
323,142.8819416,147.5671342
324,142.9438561,147.6930497
325,143.2715534,148.3538286
326,143.713379,149.2247878
327,143.7843534,149.362034
328,143.8723189,149.5315681
329,143.9156,149.6149423
330,143.9292437,149.6412192
331,143.9777207,149.7345614
332,143.9921538,149.762346
333,144.1819157,150.1273797
334,144.7680602,151.2519138
335,144.8529209,151.4143667
336,144.8806336,151.4674001
337,144.9348084,151.5710474
338,144.991144,151.6787925
339,145.1341832,151.9522013
340,145.1565124,151.9948611
341,145.4988813,152.6482837
342,145.7398583,153.1074749
343,145.9268049,153.4607689
344,146.0586209,153.7070375
345,146.1382558,153.8548959
346,146.2357314,154.0351061
347,146.319682,154.1897575
348,146.485614,154.4943887
349,146.6138037,154.7292395
350,146.6286217,154.7563803
351,146.9165235,155.2846506
352,147.2678654,155.9364904
353,147.295955,155.9891737
354,147.3801579,156.147746
355,147.4710103,156.3200315
356,147.4801948,156.3375227
357,147.4857419,156.3480925
358,147.9257299,157.191897
359,148.0083219,157.3502148
360,148.1910933,157.6985723
361,148.2770139,157.8609355
362,148.5337298,158.3381425
