"","FrameID","U_des","alpha","alpha_std","rho","rho_std","visc","visc_std","U","U_std","Re_c","Re_c_std","L","L_std","D","D_std","Y","Y_std","n","n_std","l","l_std","m","m_std","CL","CL_std","CD","CD_std","CY","CY_std","Cn","Cn_std","Cl","Cl_std","Cm","Cm_std","L_comp","L_comp_std","D_comp","D_comp_std","m_comp","m_comp_std"
"114","F4352","high",10,7.21687836487032e-05,1.15856385233862,0.000577891642148951,1.82682004123885e-05,6.19712079548405e-10,18.8643428848375,0.0662876833593606,1196371.03114287,4204.39495578723,6.97424608582869,0.246908666543604,1.0359183564282,0.199296039261552,-1.3904523709003,0.187889331794715,-0.167315898118255,0.0196187757273307,0.670623399506336,0.0242472787291839,-0.38746615140263,0.0136600341541284,0.033831708126103,0.00120552723034998,0.00502518652852883,0.000967209882211239,-0.00674501275071619,0.000913049397513103,-0.000811640793905397,9.53166194277238e-05,0.00325315952941994,0.000118037317143299,-0.00187957832024802,6.67221338408346e-05,0.0528620439470359,0.00188363629742185,0.0078518539508263,0.00151126544095506,-0.00367105140673441,0.00013031666765788
"115","F4352","high",12,7.21687836487032e-05,1.15840422751921,0.000577563214345612,1.82701429036041e-05,5.84396087234142e-10,18.8584313824344,0.0695835487615223,1195704.20182556,4412.27148428144,8.41773747878023,0.287794998102009,1.15184639258009,0.200686246775669,-1.28548508420499,0.211653980693427,-0.153376455983793,0.0189612856562479,0.897983137614985,0.0262004124983926,-0.421036305701507,0.0156188512628272,0.0408652450469051,0.00141222565422447,0.00559182146126986,0.000974817413987079,-0.006240591738885,0.00102859464099839,-0.00074459039308408,9.21674283163344e-05,0.00435940192470133,0.00012904212977944,-0.00204398769259658,7.65952788588027e-05,0.0638519453857892,0.00220660258472574,0.00873722103323415,0.00152315220935481,-0.00399216346210269,0.000149600154021099
"116","F4352","high",14,7.21687836487032e-05,1.15844644044456,0.000579117126682909,1.82696291706307e-05,7.77238887473989e-10,18.8239370318229,0.0632603666375667,1193594.16909911,4011.97124216087,9.84357461860834,0.277853606622231,1.26601601075409,0.180776712688185,-1.199332122738,0.19571249254955,-0.144527672514411,0.0178411434159896,1.12983083671807,0.026730148264349,-0.451519478244018,0.0171793289696227,0.0479607483776001,0.00137114299778111,0.00616839691741723,0.000881503694357509,-0.00584349368887522,0.000954509815060138,-0.000704180707073648,8.70077478129599e-05,0.00550486328072859,0.000132366311283831,-0.00219993375604727,8.43714344762539e-05,0.0749386693400002,0.00214241093403299,0.00963812018346441,0.00137734952243361,-0.00429674561727982,0.000164787957961433
"117","F4352","high",16,7.21687836487032e-05,1.15829391266662,0.000578154528946215,1.82714855736661e-05,6.724708544795e-10,18.7895326952032,0.070106480882241,1191134.746814,4444.79347703063,11.1898259764018,0.283595375817994,1.41809082312086,0.179516501064431,-1.00147282595357,0.191893182400179,-0.14043299711812,0.0177831131528729,1.36290970059868,0.0288278558935865,-0.477792030060756,0.0190481802348235,0.0547271202293851,0.00141089828036615,0.00693558837615444,0.000878039814737881,-0.00489799607858129,0.00094016736188122,-0.000686828690067582,8.7127781531115e-05,0.00666570893986716,0.000144237657065937,-0.00233678181670751,9.3894819498639e-05,0.0855111253584141,0.00220452856307211,0.0108368568377413,0.00137193721052794,-0.00456402698575685,0.000183388319333279
"118","F2195","high",22,7.21687836487032e-05,1.17586432687192,0.000585377766235841,1.8132190700774e-05,8.2904546009787e-10,18.4863658645088,0.0682998003684597,1198832.42528719,4429.9885474825,12.7062235175411,0.571895409501632,3.78981509177075,0.694733708779776,1.54236012881272,0.455217002796759,-0.263805473223053,0.0677863163242976,1.5642443048324,0.0554290362717927,-0.797452236796997,0.0373070891229863,0.0632391732501082,0.0028713895238507,0.0188619988341543,0.00345810777974851,0.00767636263169732,0.0022656076535128,-0.00131296604395858,0.000337405352959996,0.00778528069038206,0.000279041825267278,-0.00396893853566104,0.000186702193371251,0.098811208203294,0.00448654613101672,0.0294718731783662,0.00540329340585705,-0.00775183307746297,0.000364652721428224
"119","F2195","high",24,7.21687836487032e-05,1.17572042491318,0.000585870847453921,1.81339074849556e-05,8.84056711179192e-10,18.428600185091,0.0732048825135435,1194826.96479761,4747.09244051313,12.294000247717,0.660778184507407,4.23455391369109,0.829389436809021,1.46978800927046,0.463171983834973,-0.317224921741422,0.0917092257742616,1.51840649488616,0.0774123537596109,-0.808839379313604,0.0535603667668035,0.0615792583910586,0.00333357329953355,0.021210402177312,0.0041544864876731,0.00736200209689703,0.00232061345729358,-0.00158894379619244,0.000459353162457073,0.00760552659892939,0.000390876095175652,-0.00405138507662427,0.000269165397634643,0.096217591236029,0.00520870828052117,0.03314125340205,0.00649138513698922,-0.00791286147778177,0.000525713667255162
"120","F2195","high",25,7.21687836487032e-05,1.17563229735602,0.000584304107075721,1.81349590247774e-05,7.26562117267081e-10,18.3993532435966,0.0680794851922109,1192772.14214163,4413.97181197931,12.3052341688031,0.669304607750492,4.44128898556882,0.866846155047857,1.38718725619276,0.436350000152687,-0.343428677036992,0.101092662153476,1.50961055986263,0.081522049485352,-0.815544602363842,0.0576623841854344,0.061836265759014,0.00336364413063241,0.0223183664980939,0.00435611286734981,0.00697089373958629,0.00219276556149132,-0.00172579787196294,0.000508016049355305,0.00758609535517351,0.000409809598724175,-0.00409827493555169,0.000289776003391385,0.0966191652484594,0.00525569395411315,0.0348724476532717,0.00680642635523408,-0.0080044432334994,0.000565968756623799
"121","F2195","high",23,7.21687836487032e-05,1.17558546989208,0.000583748882162427,1.813551781968e-05,6.62896779686609e-10,18.4446010126846,0.0680358553772688,1195620.9447154,4410.73515531918,12.4358456529517,0.665593300912009,4.00830949899561,0.796143990472101,1.56860435229989,0.470354506106579,-0.286826867277942,0.0861040523677749,1.53795992135143,0.0749582969155595,-0.802021168181608,0.0497897120387598,0.0621888575951212,0.00332880543035374,0.0200446512112383,0.00398166437927705,0.00784423636402337,0.00235219284602283,-0.0014343564323162,0.000430622956136215,0.00769099048066961,0.000375113161676495,-0.00401072686234896,0.000249355732988773,0.0971700899923769,0.00520125848492771,0.0313197675175598,0.00622135059262039,-0.00783345090302532,0.000487022915993697
"122","F2195","high",0,7.21687836487032e-05,1.17637168750306,0.000584405063104118,1.8126140310688e-05,6.95173702227315e-10,18.7367076541537,0.0628486702003791,1215997.00893696,4079.43847644834,3.98456619773497,0.181572735584129,0.752302063536687,0.19836747419862,0.643187668773825,0.162893830381465,0.0153866899324046,0.0244516677102249,0.50607258253194,0.0225597625101527,-0.329859702824508,0.024580008538751,0.0192965610275621,0.000884312249519143,0.00364326803967987,0.000960974292951899,0.00311484600499917,0.000788886072648794,7.45150630102721e-05,0.000118415845506387,0.002450821491874,0.000109957410312571,-0.001597453165593,0.000119292837337135,0.0301508766055657,0.00138173788987366,0.0056926063119998,0.00150152233273734,-0.00312002571404884,0.000232993822924092
"123","F2195","high",18,7.21687836487032e-05,1.1758733122962,0.00058385363529698,1.81320835131208e-05,6.58009814730457e-10,18.5689310770808,0.0678893582865206,1204203.06224636,4403.15091062269,12.1863724833787,0.324802969469412,3.00498388064902,0.357970157774551,1.25535679875859,0.303219673092039,-0.179342963676349,0.027819591616496,1.46951857204565,0.028404400198379,-0.743449535113021,0.0197873803010262,0.0601132352392805,0.00162820973800578,0.0148230577355221,0.00176742492770478,0.00619245461731387,0.00149584598516511,-0.000884667342861088,0.000137244442720028,0.00724887703296097,0.000144347625378223,-0.00366730598902488,9.91282806840821e-05,0.0939269300613757,0.00254407771563403,0.0231610277117533,0.00276160144953872,-0.00716270700981422,0.000193609923211098
