,elbowAngle,manusAngle
200,105.4875184,91.73343977
201,105.7355153,91.98915509
202,105.9145197,92.17551307
203,106.9403056,93.27544115
204,106.952576,93.28895569
205,107.0191167,93.36240093
206,107.0794768,93.42925614
207,107.2126493,93.57755035
208,107.5722181,93.9835648
209,108.1681177,94.67558554
210,108.3798531,94.92757993
211,108.6159212,95.21250342
212,108.7142901,95.331015
213,108.868383,95.51260878
214,108.9044411,95.55446725
215,109.0332131,95.70225891
216,109.0629476,95.73604562
217,109.1858815,95.87459221
218,109.2323509,95.92654751
219,109.2510901,95.94744369
220,109.2915887,95.99250539
221,109.4974679,96.22003789
222,109.8275884,96.58357947
223,110.1720852,96.96943925
224,110.5323342,97.39054817
225,110.6850112,97.57713718
226,110.8030148,97.72546978
227,110.8137681,97.73918097
228,110.903811,97.85534407
229,111.1670894,98.21020875
230,111.1814744,98.23030989
231,111.4324695,98.59432601
232,111.6087641,98.86636
233,111.866567,99.29153421
234,112.1508857,99.80256598
235,112.3671608,100.2057934
236,112.4317853,100.325014
237,112.4322529,100.3258747
238,112.6167729,100.6636851
239,112.6500064,100.7241795
240,112.8840205,101.1479671
241,113.0312908,101.4133785
242,113.0415931,101.4319267
243,113.1613935,101.6475579
244,113.1688178,101.6609215
245,113.2033,101.7229962
246,113.6303576,102.4954768
247,113.9675178,103.1161425
248,113.9989425,103.1747436
249,114.1163967,103.3951557
250,114.118195,103.3985481
251,114.1691838,103.4949779
252,114.4566845,104.0482565
253,114.626718,104.3842651
254,114.683063,104.4972413
255,115.0312056,105.2156484
256,115.1104067,105.3844498
257,115.2005603,105.5792441
258,115.4011261,106.0233509
259,115.5461385,106.3486224
260,115.7741456,106.8544116
261,115.905016,107.14171
262,115.9930952,107.3338707
263,116.1289323,107.6283807
264,116.1679941,107.7126651
265,116.2253527,107.836106
266,116.3373684,108.0760832
267,116.6207371,108.6769436
268,116.809119,109.0716914
269,116.9450581,109.3543339
270,116.9999445,109.4679445
271,117.2006912,109.8810731
272,117.2013147,109.8823505
273,117.2791181,110.0414803
274,117.5296608,110.5503748
275,117.6929977,110.8793814
276,117.7305509,110.9547316
277,117.7927722,111.0793441
278,117.9684302,111.429618
279,118.1214867,111.7330774
280,118.2634786,112.0132331
281,118.4496654,112.3787244
282,118.5779479,112.6304218
283,118.6699874,112.8115368
284,118.8137141,113.0947724
285,118.828731,113.1243716
286,118.9125477,113.2895231
287,118.9890609,113.4401186
288,119.1331565,113.722933
289,119.2047037,113.8627978
290,119.2352915,113.9224497
291,119.3003678,114.0490362
292,119.3055744,114.0591437
293,119.3568269,114.158463
294,119.3809432,114.2050808
295,119.4054741,114.2524194
296,119.5277309,114.4870156
297,119.6206269,114.6636077
298,119.674215,114.7647426
299,119.8731172,115.1347613
300,119.9010431,115.1859678
301,120.2134003,115.7440402
302,120.2544454,115.8151579
303,120.3073684,115.9060192
304,120.4473883,116.1416254
305,120.645909,116.4627502
306,120.6644501,116.4919892
307,120.7569161,116.6378616
308,120.7895677,116.6893868
309,120.7935151,116.6956162
310,120.8293957,116.752241
311,120.8575278,116.7966378
312,121.057484,117.1120578
313,121.3980328,117.6473675
314,121.6229489,117.9983868
315,121.7605874,118.2117626
316,121.7670072,118.2216842
317,121.8224911,118.3073092
318,121.8252003,118.3114844
319,121.9877078,118.5608677
320,121.9907528,118.5655196
321,122.0178074,118.6068157
322,122.0900316,118.7167339
323,122.2941899,119.0246755
324,122.4106403,119.1983074
325,122.4949249,119.3229795
326,122.6478693,119.5469074
327,122.9978843,120.0468892
328,123.1693812,120.2847675
329,123.2219938,120.3570506
330,123.3238802,120.4974842
331,123.5735318,120.844025
332,123.9112132,121.3179003
333,124.0295791,121.4853024
334,124.1087911,121.5976836
335,124.1344559,121.6341543
336,124.1695224,121.6840316
337,124.3983146,122.0107136
338,124.4436745,122.0757297
339,124.5150238,122.1781563
340,124.7298976,122.48774
341,124.9771022,122.8458186
342,125.0952528,123.0176168
343,125.5888692,123.7392571
344,125.6509247,123.8303608
345,125.6912552,123.8896092
346,125.6966831,123.8975854
347,125.73652,123.9561415
348,125.9384053,124.2532968
349,126.1460366,124.559512
350,126.1579277,124.5770647
351,126.2227437,124.6727661
352,126.5375205,125.1431221
353,126.7253378,125.4286467
354,126.8633157,125.6405168
355,126.8690785,125.6494027
356,127.062627,125.9494683
357,127.2505717,126.2436633
358,127.2767664,126.2848703
359,127.5038077,126.6439322
360,127.5223535,126.6734038
361,127.6487755,126.874824
362,127.8119202,127.1359873
363,127.8455452,127.1899719
364,127.8777131,127.2416639
365,127.9083622,127.2909564
366,127.9472288,127.3535208
367,127.9723014,127.3939129
368,127.9839751,127.4127275
369,128.0000738,127.4386826
370,128.066776,127.5463239
371,128.5951639,128.4033819
372,128.7195572,128.6058518
373,128.7645594,128.679127
374,128.9238989,128.9386099
375,128.977298,129.0255085
376,129.1813288,129.3564992
377,129.5748171,129.9905935
378,129.8141302,130.3738342
379,129.8895017,130.4942028
380,129.9004253,130.5116354
381,130.068648,130.7797186
382,130.4575847,131.3971422
383,130.8820212,132.0679886
384,130.9212223,132.1298341
385,130.9282525,132.1409236
386,131.1682445,132.5192355
387,131.4202407,132.9160976
388,131.5647847,133.1436588
389,131.5941432,133.1898777
390,132.4034586,134.4655541
391,132.4576964,134.5512633
392,132.7165264,134.9608925
393,132.7670063,135.0409158
394,133.0756016,135.5312378
395,133.1451558,135.642047
396,133.2176345,135.7576428
397,133.219564,135.760722
398,133.3779739,136.0138596
399,133.5005108,136.2099902
400,134.0485195,137.0879385
401,134.1953621,137.3232819
402,134.3970226,137.6464427
403,134.5092817,137.8262919
404,134.5759024,137.9330015
405,134.6411044,138.0374186
406,135.1139993,138.7938958
407,135.2833542,139.0643261
408,135.3212716,139.12483
409,135.3407981,139.1559814
410,135.9106456,140.0627585
411,135.998385,140.2019128
412,136.2934853,140.668861
413,136.4553079,140.9241474
414,136.7575706,141.3993521
415,136.7882986,141.4475338
416,136.8239972,141.5034785
417,136.8597633,141.5594952
418,137.0018748,141.7817265
419,137.4669429,142.5048657
420,137.5946764,142.7022836
421,137.7577261,142.9534771
422,137.9868248,143.3054919
423,138.2359208,143.6876749
424,138.376132,143.9025885
425,138.4908439,144.0783247
426,138.5372678,144.1494247
427,138.5798652,144.2146549
428,139.1253716,145.0494846
429,139.41551,145.4934068
430,139.4852536,145.6001377
431,139.7328848,145.9792263
432,139.869931,146.1891446
433,140.0277239,146.4309817
434,140.040557,146.4506575
435,140.1697128,146.6487509
436,140.1841492,146.6709011
437,140.9491815,147.8478739
438,141.0008509,147.9276365
439,141.2306683,148.2829155
440,141.3202206,148.4215952
441,141.3993578,148.5442648
442,141.8159912,149.1920867
443,141.8185626,149.1960961
444,141.9495108,149.400471
445,142.3972831,150.1024117
446,142.4295359,150.1531433
447,142.5248417,150.3029136
448,142.6829301,150.5509148
449,142.927789,150.9341069
450,143.0781161,151.1688875
451,143.4976361,151.8226987
452,143.745768,152.2087956
453,143.9123608,152.4679133
454,144.0469142,152.677195
455,144.0678565,152.7097708
456,144.2491999,152.9919132
457,144.3718286,153.182799
458,144.3827809,153.1998525
459,144.5005168,153.383236
460,144.5414657,153.4470465
461,145.0080692,154.1755994
462,145.3358022,154.6894836
463,145.3783093,154.7563001
464,145.5141685,154.9701421
465,145.6537764,155.1903722
466,145.9244444,155.618915
467,145.989747,155.7226442
468,146.0029233,155.7435908
469,146.3229784,156.2564144
470,146.5143448,156.5658027
471,146.5674637,156.6518989
472,146.9157216,157.2170159
473,147.0259766,157.3956358
474,147.0326819,157.4064869
475,147.1136255,157.5373399
476,147.181004,157.6460399
477,147.4580399,158.0900112
478,147.6779506,158.4377857
479,147.7546288,158.5578142
